"BESILATO DE ANLODIPINO;PERINDOPRIL ARGININA";-;C9B3 - INIBIDORES DA ECA ASSOCIADOS A ANTAGONISTAS DO CÁLCIO (C8)
"BESILATO DE ANLODIPINO;TELMISARTANA";-;C9D3 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTAGONISTAS DO CÁLCIO
BESILATO DE ATRACÚRIO;-;M3A - RELAXANTE MUSCULAR DE AÇÃO PERIFÉRICA
BESILATO DE CISATRACÚRIO;-;M3A - RELAXANTE MUSCULAR DE AÇÃO PERIFÉRICA
BESILATO DE LEVANLODIPINO;-;C8A - ANTAGONISTAS DO CÁLCIO PUROS
BESILATO DE LEVANLODIPINO HEMIPENTAIDRATADO;-;C8A - ANTAGONISTAS DO CÁLCIO PUROS
BESILATO DE REMIMAZOLAM;-;N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS
BETA-AGALSIDASE;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
"BETACIPIONATO DE ESTRADIOL;ACETATO DE MEDROXIPROGESTERONA";-;G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS
BETADINUTUXIMABE;-;L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS
BETAFOLITROPINA;-;G3G - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULAÇÃO
BETAINTERFERONA 1A;-;N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA
BETAINTERFERONA 1B;-;N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA
BETAMETASONA;-;H2A2 - CORTICOSTERÓIDES ORAIS PUROS
"BETAMETASONA;CETOCONAZOL";-;D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS
"BETAMETASONA;FOSFATO DISSÓDICO DE BETAMETASONA";-;H2A1 - CORTICOSTERÓIDES INJETÁVEIS PUROS
"BETAMETASONA;MALEATO DE DEXCLORFENIRAMINA";-;H2B - ASSOCIAÇÕES DE CORTICOSTERÓIDES SISTÊMICOS
"BETAMETASONA;SULFATO DE NEOMICINA;CETOCONAZOL";-;D7B3 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICÓTICOS E ANTIBACTERIANOS
BETANONACOGUE PEGOL;-;B2D2 - FATORES II VII IX X
BETAOCTOCOGUE;-;B2D1 - FATOR VIII
BETAÍNA;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
"BETAÍNA MONOIDRATADA;ACETILRACEMETIONINA;CITRATO DE COLINA";-;A5B - HEPATOPROTETORES E LIPOTRÓPICOS
